date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:38:12	235/235	---M-Z	200	added ('OK')	text/plain	date:Tue,%2017%20Mar%202020%2008:44:57%20GMT	https://www.fibaro.com/robots.txt		(from )
15:38:14	100370/100370	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2008:38:14%20GMT	https://www.fibaro.com/en/products/home-center-3/	D:/Cong%20ty/Format%20web%20Fibaro/Home%20center%203/home-center-3-nha-thong-minh-fibaro/web/index.html	(from )
15:38:15	936/936	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2008:40:24%20GMT	https://www.fibaro.com/en/wp-content/cache/autoptimize/3/css/autoptimize_ac555af369ac918e3561733dc8c69923.css	D:/Cong%20ty/Format%20web%20Fibaro/Home%20center%203/home-center-3-nha-thong-minh-fibaro/web/autoptimize_ac555af369ac918e3561733dc8c69923.css	(from https://www.fibaro.com/en/products/home-center-3/)
15:38:15	29871/29871	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Jun%202020%2010:54:39%20GMT	https://www.fibaro.com/en/wp-content/uploads/sites/3/2019/12/home-center-3.jpg	D:/Cong%20ty/Format%20web%20Fibaro/Home%20center%203/home-center-3-nha-thong-minh-fibaro/web/home-center-3.jpg	(from https://www.fibaro.com/en/products/home-center-3/)
15:38:16	2256/2256	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2008:38:16%20GMT	https://www.fibaro.com/favicons/mstile-144x144.png	D:/Cong%20ty/Format%20web%20Fibaro/Home%20center%203/home-center-3-nha-thong-minh-fibaro/web/mstile-144x144.png	(from https://www.fibaro.com/en/products/home-center-3/)
15:38:16	2453/2453	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jan%202019%2008:11:38%20GMT	https://www.fibaro.com/favicons/mstile-70x70.png	D:/Cong%20ty/Format%20web%20Fibaro/Home%20center%203/home-center-3-nha-thong-minh-fibaro/web/mstile-70x70.png	(from https://www.fibaro.com/en/products/home-center-3/)
15:38:16	3320/3320	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jan%202019%2008:11:38%20GMT	https://www.fibaro.com/favicons/mstile-150x150.png	D:/Cong%20ty/Format%20web%20Fibaro/Home%20center%203/home-center-3-nha-thong-minh-fibaro/web/mstile-150x150.png	(from https://www.fibaro.com/en/products/home-center-3/)
15:38:16	1646/1646	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jan%202019%2008:11:38%20GMT	https://www.fibaro.com/favicons/favicon-16x16.png	D:/Cong%20ty/Format%20web%20Fibaro/Home%20center%203/home-center-3-nha-thong-minh-fibaro/web/favicon-16x16.png	(from https://www.fibaro.com/en/products/home-center-3/)
15:38:17	297/297	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Jul%202019%2011:38:47%20GMT	https://www.fibaro.com/favicons/favicon-32x32.png	D:/Cong%20ty/Format%20web%20Fibaro/Home%20center%203/home-center-3-nha-thong-minh-fibaro/web/favicon-32x32.png	(from https://www.fibaro.com/en/products/home-center-3/)
15:38:17	2511/2511	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jan%202019%2008:11:38%20GMT	https://www.fibaro.com/favicons/favicon-96x96.png	D:/Cong%20ty/Format%20web%20Fibaro/Home%20center%203/home-center-3-nha-thong-minh-fibaro/web/favicon-96x96.png	(from https://www.fibaro.com/en/products/home-center-3/)
15:38:17	2973/2973	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jan%202019%2008:11:38%20GMT	https://www.fibaro.com/favicons/favicon-128x128.png	D:/Cong%20ty/Format%20web%20Fibaro/Home%20center%203/home-center-3-nha-thong-minh-fibaro/web/favicon-128x128.png	(from https://www.fibaro.com/en/products/home-center-3/)
15:38:17	3367/3367	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jan%202019%2008:11:38%20GMT	https://www.fibaro.com/favicons/favicon-196x196.png	D:/Cong%20ty/Format%20web%20Fibaro/Home%20center%203/home-center-3-nha-thong-minh-fibaro/web/favicon-196x196.png	(from https://www.fibaro.com/en/products/home-center-3/)
15:38:18	2057/2057	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jan%202019%2008:11:37%20GMT	https://www.fibaro.com/favicons/apple-touch-icon-57x57.png	D:/Cong%20ty/Format%20web%20Fibaro/Home%20center%203/home-center-3-nha-thong-minh-fibaro/web/apple-touch-icon-57x57.png	(from https://www.fibaro.com/en/products/home-center-3/)
