date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:30	235/235	---M-Z	200	added ('OK')	text/plain	date:Tue,%2017%20Mar%202020%2008:44:57%20GMT	https://www.fibaro.com/robots.txt		(from )
15:48:32	76797/76797	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2008:48:32%20GMT	https://www.fibaro.com/en/smart-home-in-use/	D:/Cong%20ty/Format%20web%20Fibaro/su%20dung%20nha%20thong%20minh%20fibaro/su-dung-nha-thong-minh-fibaro/su-dung-nha-thong-minh-fibaro/web/index.html	(from )
15:48:32	977/977	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Oct%202019%2014:02:32%20GMT	https://www.fibaro.com/en/wp-content/cache/autoptimize/3/css/autoptimize_6f4b94b25abcfce2a4d2f7f0a666a35c.css	D:/Cong%20ty/Format%20web%20Fibaro/su%20dung%20nha%20thong%20minh%20fibaro/su-dung-nha-thong-minh-fibaro/su-dung-nha-thong-minh-fibaro/web/autoptimize_6f4b94b25abcfce2a4d2f7f0a666a35c.css	(from https://www.fibaro.com/en/smart-home-in-use/)
15:48:33	185617/185617	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Aug%202018%2007:33:09%20GMT	https://www.fibaro.com/en/wp-content/uploads/sites/3/2018/08/smart-home-use-cases.jpg	D:/Cong%20ty/Format%20web%20Fibaro/su%20dung%20nha%20thong%20minh%20fibaro/su-dung-nha-thong-minh-fibaro/su-dung-nha-thong-minh-fibaro/web/smart-home-use-cases.jpg	(from https://www.fibaro.com/en/smart-home-in-use/)
15:48:34	2256/2256	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Aug%202020%2008:48:34%20GMT	https://www.fibaro.com/favicons/mstile-144x144.png	D:/Cong%20ty/Format%20web%20Fibaro/su%20dung%20nha%20thong%20minh%20fibaro/su-dung-nha-thong-minh-fibaro/su-dung-nha-thong-minh-fibaro/web/mstile-144x144.png	(from https://www.fibaro.com/en/smart-home-in-use/)
15:48:34	2453/2453	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jan%202019%2008:11:38%20GMT	https://www.fibaro.com/favicons/mstile-70x70.png	D:/Cong%20ty/Format%20web%20Fibaro/su%20dung%20nha%20thong%20minh%20fibaro/su-dung-nha-thong-minh-fibaro/su-dung-nha-thong-minh-fibaro/web/mstile-70x70.png	(from https://www.fibaro.com/en/smart-home-in-use/)
15:48:34	3320/3320	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jan%202019%2008:11:38%20GMT	https://www.fibaro.com/favicons/mstile-150x150.png	D:/Cong%20ty/Format%20web%20Fibaro/su%20dung%20nha%20thong%20minh%20fibaro/su-dung-nha-thong-minh-fibaro/su-dung-nha-thong-minh-fibaro/web/mstile-150x150.png	(from https://www.fibaro.com/en/smart-home-in-use/)
15:48:34	1646/1646	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jan%202019%2008:11:38%20GMT	https://www.fibaro.com/favicons/favicon-16x16.png	D:/Cong%20ty/Format%20web%20Fibaro/su%20dung%20nha%20thong%20minh%20fibaro/su-dung-nha-thong-minh-fibaro/su-dung-nha-thong-minh-fibaro/web/favicon-16x16.png	(from https://www.fibaro.com/en/smart-home-in-use/)
15:48:34	297/297	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Jul%202019%2011:38:47%20GMT	https://www.fibaro.com/favicons/favicon-32x32.png	D:/Cong%20ty/Format%20web%20Fibaro/su%20dung%20nha%20thong%20minh%20fibaro/su-dung-nha-thong-minh-fibaro/su-dung-nha-thong-minh-fibaro/web/favicon-32x32.png	(from https://www.fibaro.com/en/smart-home-in-use/)
15:48:35	2511/2511	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jan%202019%2008:11:38%20GMT	https://www.fibaro.com/favicons/favicon-96x96.png	D:/Cong%20ty/Format%20web%20Fibaro/su%20dung%20nha%20thong%20minh%20fibaro/su-dung-nha-thong-minh-fibaro/su-dung-nha-thong-minh-fibaro/web/favicon-96x96.png	(from https://www.fibaro.com/en/smart-home-in-use/)
15:48:35	2973/2973	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jan%202019%2008:11:38%20GMT	https://www.fibaro.com/favicons/favicon-128x128.png	D:/Cong%20ty/Format%20web%20Fibaro/su%20dung%20nha%20thong%20minh%20fibaro/su-dung-nha-thong-minh-fibaro/su-dung-nha-thong-minh-fibaro/web/favicon-128x128.png	(from https://www.fibaro.com/en/smart-home-in-use/)
